Period,Interest Due A,Interest Paid A,Interest Shortfall A,Principal Paid A,Balance A,Interest Due B,Interest Paid B,Interest Shortfall B,Principal Paid B,Balance B,Reserve Account
1,94514.58105916665,94514.58105916665,0,309386.66196991905,22374112.792230077,37805.83242366666,37805.83242366666,0,0.0,5670874.863549999,279911.9691574361
2,93225.46996762532,93225.46996762532,0,313646.7380594293,22060466.054170646,37805.83242366666,37805.83242366666,0,0.0,5670874.863549999,536856.215933607
3,91918.60855904435,91918.60855904435,0,317816.9671956135,21742649.086975034,37805.83242366666,37805.83242366666,0,0.0,5670874.863549999,796013.7183840426
4,90594.37119572931,90594.37119572931,0,322056.0713447698,21420593.015630264,37805.83242366666,37805.83242366666,0,0.0,5670874.863549999,1052819.0941322674
5,89252.47089845943,89252.47089845943,0,326311.6869178278,21094281.328712437,37805.83242366666,37805.83242366666,0,0.0,5670874.863549999,1308010.388608207
6,87892.83886963516,87892.83886963516,0,330307.23547373177,20763974.093238704,37805.83242366666,37805.83242366666,0,0.0,5670874.863549999,1570393.5245994113
7,86516.55872182793,86516.55872182793,0,334858.8224245838,20429115.27081412,37805.83242366666,37805.83242366666,0,0.0,5670874.863549999,1810833.4595008248
8,85121.31362839216,85121.31362839216,0,339473.9472591924,20089641.32355493,37805.83242366666,37805.83242366666,0,0.0,5670874.863549999,2048053.5146610644
9,83706.83884814553,83706.83884814553,0,343224.82932883373,19746416.494226094,37805.83242366666,37805.83242366666,0,0.0,5670874.863549999,2319704.2916940167
10,82276.73539260872,82276.73539260872,0,347753.8807337499,19398662.613492344,37805.83242366666,37805.83242366666,0,0.0,5670874.863549999,2560076.7744416217
11,80827.76088955143,80827.76088955143,0,352097.3686185137,19046565.24487383,37805.83242366666,37805.83242366666,0,0.0,5670874.863549999,2801570.630911829
12,79360.68852030762,79360.68852030762,0,356247.98293838877,18690317.261935443,37805.83242366666,37805.83242366666,0,0.0,5670874.863549999,3049210.540524067
13,77876.321924731,77876.321924731,0,360687.2993966652,18329629.96253878,37805.83242366666,37805.83242366666,0,0.0,5670874.863549999,3282319.8956724624
14,76373.45817724492,76373.45817724492,0,364631.3962399851,17964998.56629879,37805.83242366666,37805.83242366666,0,0.0,5670874.863549999,3533573.9505114006
15,74854.16069291162,74854.16069291162,0,369298.8184993784,17595699.74779941,37805.83242366666,37805.83242366666,0,0.0,5670874.863549999,3755055.231794569
16,73315.41561583088,73315.41561583088,0,374164.8964336488,17221534.851365764,37805.83242366666,37805.83242366666,0,0.0,5670874.863549999,3971378.3749294896
17,71756.39521402401,71756.39521402401,0,379331.32593670994,16842203.525429055,37805.83242366666,37805.83242366666,0,0.0,5670874.863549999,4173699.6056596353
18,70175.84802262107,70175.84802262107,0,383862.38034306193,16458341.145085994,37805.83242366666,37805.83242366666,0,0.0,5670874.863549999,4395003.198026908
19,68576.42143785831,68576.42143785831,0,388861.3415562206,16069479.803529773,37805.83242366666,37805.83242366666,0,0.0,5670874.863549999,4599849.927635131
20,66956.16584804072,66956.16584804072,0,394235.20798912516,15675244.595540646,37805.83242366666,37805.83242366666,0,0.0,5670874.863549999,4790385.69951501
21,65313.51914808602,65313.51914808602,0,398831.8163210834,15276412.779219564,37805.83242366666,37805.83242366666,0,0.0,5670874.863549999,5002354.5067640105
22,63651.71991341485,63651.71991341485,0,404345.9957707784,14872066.783448786,37805.83242366666,37805.83242366666,0,0.0,5670874.863549999,5184727.108795637
23,61966.9449310366,61966.9449310366,0,409125.3754839707,14462941.407964814,37805.83242366666,37805.83242366666,0,0.0,5670874.863549999,5392662.140403981
24,60262.255866520056,60262.255866520056,0,414233.27354301227,14048708.134421803,37805.83242366666,37805.83242366666,0,0.0,5670874.863549999,5582357.658948884
25,58536.28389342418,58536.28389342418,0,418403.5323471813,13630304.602074621,37805.83242366666,37805.83242366666,0,0.0,5670874.863549999,5794193.970493724
26,56792.93584197759,56792.93584197759,0,423933.3484306477,13206371.253643973,37805.83242366666,37805.83242366666,0,0.0,5670874.863549999,5969867.349726626
27,55026.54689018322,55026.54689018322,0,429442.320451884,12776928.93319209,37805.83242366666,37805.83242366666,0,0.0,5670874.863549999,6140677.823274651
28,53237.20388830037,53237.20388830037,0,435201.5662593573,12341727.366932731,37805.83242366666,37805.83242366666,0,0.0,5670874.863549999,6303699.284202003
29,51423.86402888638,51423.86402888638,0,440815.6966473637,11900911.670285366,37805.83242366666,37805.83242366666,0,0.0,5670874.863549999,6467519.7007612875
30,49587.13195952236,49587.13195952236,0,446147.18291362043,11454764.487371746,37805.83242366666,37805.83242366666,0,0.0,5670874.863549999,6639196.161202803
31,47728.18536404894,47728.18536404894,0,452329.3610578737,11002435.126313873,37805.83242366666,37805.83242366666,0,0.0,5670874.863549999,6781720.419679406
32,45843.47969297447,45843.47969297447,0,458135.19188291975,10544299.934430953,37805.83242366666,37805.83242366666,0,0.0,5670874.863549999,6934382.640216993
